# theta [deg]	wasp_takeoff_angle [deg]	n_b	lat_0 [deg]	lon_0 [deg]	Travel Time [s]	Celerity [km/s]	Turning Height [km]	Inclination [deg]	Back Azimuth [deg]	Geo. Atten. [dB]	Atmo. Atten. [dB]
16	60	0	40.50044	47.652822	1557.9592	0.26328394	114.01879	15.999775	-117.31913	-69.529569	-0.46234381
17	60	0	40.469109	47.573164	1536.455	0.26203337	114.22647	16.999777	-117.37084	-69.690449	-0.47396355
18	60	0	40.437995	47.494268	1515.2474	0.2607395	114.44633	17.999742	-117.42204	-69.826675	-0.48663171
19	60	0	40.407157	47.416278	1494.3803	0.25940298	114.67833	18.99994	-117.47261	-69.941059	-0.50041163
20	60	0	40.376658	47.339346	1473.8996	0.25802486	114.92247	19.999746	-117.52246	-70.035955	-0.5153719

0	70	0	41.376362	55.330828	3789.3024	0.27762664	112.39016	0.00060494927	-102.33659	-45.921652	-0.75429151
1	70	0	40.187584	49.196105	1874.3227	0.27692972	112.39661	0.99993846	-106.3461	-58.221409	-0.37169586
2	70	0	40.170389	49.119493	1854.461	0.27623819	112.41592	1.9999359	-106.39553	-61.059429	-0.37242434
3	70	0	40.153323	49.043719	1834.7898	0.2755417	112.44809	2.9998418	-106.4444	-62.733562	-0.3736958
4	70	0	40.136158	48.967759	1815.0518	0.2748293	112.49309	3.9998898	-106.49337	-63.951978	-0.37551878
5	70	0	40.11873	48.890898	1795.0698	0.27409205	112.5509	4.999717	-106.5429	-64.924839	-0.37790583
6	70	0	40.100932	48.812678	1774.7343	0.27332275	112.62147	5.9998428	-106.5933	-65.736514	-0.38087334
7	70	0	40.082722	48.732926	1754.0095	0.27251647	112.70478	6.9998236	-106.64466	-66.428941	-0.38444137
8	70	0	40.064093	48.651634	1732.9029	0.27166961	112.80076	7.9997384	-106.69699	-67.025802	-0.38863341
9	70	0	40.045069	48.568916	1711.4541	0.27077969	112.90937	8.9998348	-106.75022	-67.543205	-0.39347632
10	70	0	40.025698	48.484993	1689.7297	0.26984532	113.03057	9.9998227	-106.80421	-67.99211	-0.39900031
11	70	0	40.006032	48.400113	1667.8033	0.26886558	113.16429	10.999939	-106.85879	-68.381937	-0.40523709
12	70	0	39.986137	48.314566	1645.7588	0.26784019	113.31048	11.999881	-106.91377	-68.720135	-0.41221976
13	70	0	39.966077	48.228627	1623.676	0.26676904	113.46909	12.999844	-106.96898	-69.012873	-0.41998476
14	70	0	39.945913	48.142569	1601.6331	0.26565232	113.64004	13.999866	-107.02425	-69.265604	-0.42857155
15	70	0	39.925708	48.056658	1579.7058	0.26449047	113.8233	14.999781	-107.0794	-69.482987	-0.43802276
16	70	0	39.905517	47.971122	1557.9592	0.26328394	114.01879	15.999775	-107.13428	-69.669227	-0.44838459
17	70	0	39.885391	47.886177	1536.455	0.26203337	114.22647	16.999777	-107.18877	-69.827516	-0.45970869
18	70	0	39.865378	47.802015	1515.2474	0.2607395	114.44633	17.999742	-107.24272	-69.961111	-0.47205307
19	70	0	39.845517	47.718793	1494.3803	0.25940298	114.67833	18.99994	-107.29606	-70.072823	-0.4854795
