# z [km]	Lat [deg]	Long [deg]	Geo. Atten. [dB]	Atmo. Atten. [dB]	Travel Time [s]
140.14354	39.641806	43.45	-147.75214	-2.4600563	532.9901
140.55794	39.652185	43.45	-147.92851	-2.574055	535.20324
140.95798	39.662607	43.45	-148.10202	-2.6900282	537.40727
141.34374	39.673069	43.45	-148.27267	-2.8079069	539.60267
141.71526	39.683571	43.45	-148.44052	-2.9276215	541.78987
142.07264	39.69411	43.45	-148.60568	-3.0491023	543.96932
142.41592	39.704685	43.45	-148.76822	-3.1722791	546.14142
142.74517	39.715294	43.45	-148.92814	-3.2970822	548.30658
143.06046	39.725935	43.45	-149.08539	-3.4234418	550.46517
143.36183	39.736606	43.45	-149.24001	-3.5512887	552.61756
143.64933	39.747307	43.45	-149.39207	-3.6805541	554.7641
143.92301	39.758035	43.45	-149.54167	-3.8111693	556.90513
144.18292	39.76879	43.45	-149.68886	-3.9430661	559.04098
144.42911	39.779568	43.45	-149.83364	-4.0761765	561.17197
144.66163	39.79037	43.45	-149.97592	-4.2104334	563.29841
144.8805	39.801194	43.45	-150.11564	-4.3457697	565.42059
145.08576	39.812038	43.45	-150.25273	-4.4821191	567.53881
145.27744	39.8229	43.45	-150.38724	-4.6194154	569.65334
145.45554	39.83378	43.45	-150.51928	-4.757593	571.76447
145.62012	39.844677	43.45	-150.649	-4.8965863	573.87246
145.77119	39.855588	43.45	-150.7765	-5.0363303	575.97758
145.90879	39.866513	43.45	-150.9019	-5.17676	578.0801
146.03296	39.87745	43.45	-151.02527	-5.3178109	580.18026
146.14372	39.888398	43.45	-151.14664	-5.4594189	582.27834
146.24111	39.899355	43.45	-151.26589	-5.6015201	584.37456
146.32514	39.910321	43.45	-151.38292	-5.7440507	586.46918
146.39584	39.921294	43.45	-151.49765	-5.8869474	588.56243
146.45321	39.932273	43.45	-151.60998	-6.030147	590.65456
146.49726	39.943257	43.45	-151.71987	-6.1735862	592.7458
146.52801	39.954244	43.45	-151.82726	-6.3172022	594.83639
146.54545	39.965234	43.45	-151.93212	-6.460932	596.92655
146.5496	39.976224	43.45	-152.03441	-6.6047127	599.01653
146.54044	39.987214	43.45	-152.13412	-6.7484817	601.10655
146.51798	39.998203	43.45	-152.23125	-6.892176	603.19684
146.48222	40.009189	43.45	-152.32581	-7.0357327	605.28765
146.43315	40.020171	43.45	-152.41782	-7.179089	607.3792
146.37076	40.031148	43.45	-152.50731	-7.3221818	609.47172
146.29504	40.042118	43.45	-152.59431	-7.464948	611.56546
146.20598	40.053081	43.45	-152.67887	-7.6073242	613.66066
146.10355	40.064035	43.45	-152.76105	-7.749247	615.75755
145.98774	40.074979	43.45	-152.84092	-7.8906526	617.85638
145.85851	40.085912	43.45	-152.9185	-8.0314769	619.9574
145.71584	40.096832	43.45	-152.99368	-8.1716558	622.06087
145.55968	40.107737	43.45	-153.06632	-8.3111245	624.16704
145.39001	40.118628	43.45	-153.13628	-8.449818	626.27618
145.20679	40.129502	43.45	-153.20339	-8.5876712	628.38856
145.01	40.140357	43.45	-153.2675	-8.7246184	630.50445
144.79961	40.151194	43.45	-153.32848	-8.8605937	632.62413
144.5756	40.162009	43.45	-153.38631	-8.995531	634.74788
144.33794	40.172803	43.45	-153.44104	-9.1293637	636.876
144.08658	40.183572	43.45	-153.49272	-9.2620247	639.00878
143.82148	40.194317	43.45	-153.54138	-9.3934464	641.14654
143.5426	40.205035	43.45	-153.58694	-9.5235609	643.28961
143.24988	40.215725	43.45	-153.6293	-9.6522998	645.43831
142.94327	40.226385	43.45	-153.66831	-9.7795943	647.593
142.62272	40.237014	43.45	-153.7039	-9.9053754	649.75402
142.28819	40.24761	43.45	-153.73601	-10.029574	651.92176
141.93961	40.258172	43.45	-153.76465	-10.15212	654.09658
141.57691	40.268697	43.45	-153.78975	-10.272943	656.2789
141.20002	40.279184	43.45	-153.81117	-10.391974	658.46914
140.80889	40.289632	43.45	-153.82877	-10.509142	660.66774
140.40345	40.300037	43.45	-153.84246	-10.62438	662.87515
139.98361	40.310399	43.45	-153.85222	-10.737616	665.09185
139.54931	40.320716	43.45	-153.85799	-10.848784	667.31836
139.10044	40.330985	43.45	-153.85945	-10.957814	669.55521
138.63695	40.341204	43.45	-153.85632	-11.064637	671.80295
138.15876	40.351371	43.45	-153.84859	-11.169187	674.06217
137.66576	40.361483	43.45	-153.83638	-11.271396	676.33349
137.15785	40.37154	43.45	-153.81943	-11.371202	678.6176
136.63492	40.381537	43.45	-153.79726	-11.46854	680.91519
136.0969	40.391473	43.45	-153.76966	-11.563348	683.22701
135.54368	40.401344	43.45	-153.73654	-11.655567	685.55384
134.97516	40.411149	43.45	-153.69763	-11.74514	687.89653
134.39123	40.420884	43.45	-153.65263	-11.832013	690.25597
133.79178	40.430547	43.45	-153.60149	-11.916133	692.63316
133.17665	40.440134	43.45	-153.54393	-11.997454	695.02915
132.54572	40.449641	43.45	-153.47926	-12.075932	697.44508
131.89889	40.459066	43.45	-153.40701	-12.151526	699.88214
131.23603	40.468406	43.45	-153.32688	-12.224199	702.34162
130.55701	40.477655	43.45	-153.23856	-12.293918	704.82495
129.86168	40.486811	43.45	-153.14156	-12.360658	707.33368
129.14987	40.495869	43.45	-153.03526	-12.424397	709.86953
128.42144	40.504825	43.45	-152.91896	-12.485119	712.43435
127.67624	40.513673	43.45	-152.79184	-12.542812	715.03017
126.91411	40.52241	43.45	-152.65306	-12.597473	717.65919
126.1349	40.531031	43.45	-152.50183	-12.6491	720.32391
125.33842	40.539528	43.45	-152.33714	-12.697702	723.02708
124.52452	40.547897	43.45	-152.15781	-12.743293	725.77173
123.693	40.556131	43.45	-151.9628	-12.785896	728.56134
122.84348	40.564222	43.45	-151.75058	-12.82553	731.40034
121.97567	40.572161	43.45	-151.51812	-12.862224	734.29357
121.08932	40.579941	43.45	-151.26321	-12.896011	737.24635
120.18434	40.587552	43.45	-150.9834	-12.926942	740.26427
119.26097	40.59499	43.45	-150.6756	-12.955091	743.35242
118.3197	40.602253	43.45	-150.33777	-12.980547	746.51538
117.36121	40.609338	43.45	-149.96838	-13.003421	749.75729
116.3863	40.616248	43.45	-149.56563	-13.023839	753.08168
115.3959	40.622985	43.45	-149.12882	-13.041942	756.49144
