# z [km]	Lat [deg]	Long [deg]	Geo. Atten. [dB]	Atmo. Atten. [dB]	Travel Time [s]
146.52801	0.012170759	0.013235627	-151.82726	-6.3172022	594.83639
146.54545	0.012174106	0.013235627	-151.93212	-6.460932	596.92655
146.5496	0.012177454	0.013235627	-152.03441	-6.6047127	599.01653
146.54044	0.012180802	0.013235627	-152.13412	-6.7484817	601.10655
146.51798	0.012184149	0.013235627	-152.23125	-6.892176	603.19684
146.48222	0.012187496	0.013235627	-152.32581	-7.0357327	605.28765
146.43315	0.012190841	0.013235627	-152.41782	-7.179089	607.3792
146.37076	0.012194185	0.013235627	-152.50731	-7.3221818	609.47172
146.29504	0.012197527	0.013235627	-152.59431	-7.464948	611.56546
146.20598	0.012200866	0.013235627	-152.67887	-7.6073242	613.66066
146.10355	0.012204203	0.013235627	-152.76105	-7.749247	615.75755
145.98774	0.012207537	0.013235627	-152.84092	-7.8906526	617.85638
145.85851	0.012210867	0.013235627	-152.9185	-8.0314769	619.9574
145.71584	0.012214193	0.013235627	-152.99368	-8.1716558	622.06087
145.55968	0.012217515	0.013235627	-153.06632	-8.3111245	624.16704
145.39001	0.012220833	0.013235627	-153.13628	-8.449818	626.27618
145.20679	0.012224145	0.013235627	-153.20339	-8.5876712	628.38856
145.01	0.012227452	0.013235627	-153.2675	-8.7246184	630.50445
144.79961	0.012230753	0.013235627	-153.32848	-8.8605937	632.62413
144.5756	0.012234048	0.013235627	-153.38631	-8.995531	634.74788
144.33794	0.012237335	0.013235627	-153.44104	-9.1293637	636.876
144.08658	0.012240616	0.013235627	-153.49272	-9.2620247	639.00878
143.82148	0.012243889	0.013235627	-153.54138	-9.3934464	641.14654
143.5426	0.012247154	0.013235627	-153.58694	-9.5235609	643.28961
143.24988	0.01225041	0.013235627	-153.6293	-9.6522998	645.43831
142.94327	0.012253658	0.013235627	-153.66831	-9.7795943	647.593
142.62272	0.012256895	0.013235627	-153.7039	-9.9053754	649.75402
142.28819	0.012260123	0.013235627	-153.73601	-10.029574	651.92176
141.93961	0.01226334	0.013235627	-153.76465	-10.15212	654.09658
141.57691	0.012266547	0.013235627	-153.78975	-10.272943	656.2789
141.20002	0.012269741	0.013235627	-153.81117	-10.391974	658.46914
140.80889	0.012272924	0.013235627	-153.82877	-10.509142	660.66774
140.40345	0.012276093	0.013235627	-153.84246	-10.62438	662.87515
139.98361	0.01227925	0.013235627	-153.85222	-10.737616	665.09185
139.54931	0.012282392	0.013235627	-153.85799	-10.848784	667.31836
139.10044	0.01228552	0.013235627	-153.85945	-10.957814	669.55521
138.63695	0.012288633	0.013235627	-153.85632	-11.064637	671.80295
138.15876	0.01229173	0.013235627	-153.84859	-11.169187	674.06217
137.66576	0.012294811	0.013235627	-153.83638	-11.271396	676.33349
137.15785	0.012297874	0.013235627	-153.81943	-11.371202	678.6176
136.63492	0.01230092	0.013235627	-153.79726	-11.46854	680.91519
136.0969	0.012303946	0.013235627	-153.76966	-11.563348	683.22701
135.54368	0.012306953	0.013235627	-153.73654	-11.655567	685.55384
134.97516	0.01230994	0.013235627	-153.69763	-11.74514	687.89653
134.39123	0.012312905	0.013235627	-153.65263	-11.832013	690.25597
133.79178	0.012315849	0.013235627	-153.60149	-11.916133	692.63316
133.17665	0.012318769	0.013235627	-153.54393	-11.997454	695.02915
132.54572	0.012321665	0.013235627	-153.47926	-12.075932	697.44508
131.89889	0.012324536	0.013235627	-153.40701	-12.151526	699.88214
131.23603	0.012327381	0.013235627	-153.32688	-12.224199	702.34162
130.55701	0.012330199	0.013235627	-153.23856	-12.293918	704.82495
129.86168	0.012332988	0.013235627	-153.14156	-12.360658	707.33368
129.14987	0.012335747	0.013235627	-153.03526	-12.424397	709.86953
128.42144	0.012338475	0.013235627	-152.91896	-12.485119	712.43435
127.67624	0.012341171	0.013235627	-152.79184	-12.542812	715.03017
